# WaveDec output file with array layout
# Easting	Northing	Elevation
# [m]	[m]	[m]
685114.250	257524.578	431.442
685122.625	257529.031	431.430
685127.688	257484.062	431.264
685149.562	257492.312	431.689
685161.438	257520.156	431.789
685128.188	257520.562	431.418
685133.500	257480.172	431.413
685147.562	257514.016	431.617
685144.125	257526.656	431.664
685161.500	257511.438	431.903
685126.062	257514.875	431.355
