# WaveDec output file for Circular Rayleigh waves
# MODEL_CIRCULAR_RAYLEIGH
# Frequency	Amplitude	Wavenumber	Velocity	EllipticityAngle
# [Hz]	[a.u.]	[1/m]	[m/s]	[rad]
1.366e+01	4.851e+02	4.445e-02	3.074e+02	-7.133e-01
1.491e+01	7.417e+02	4.973e-02	2.998e+02	-7.549e-01
1.615e+01	7.120e+02	5.607e-02	2.880e+02	-7.348e-01
1.739e+01	8.896e+02	6.074e-02	2.863e+02	-7.176e-01
1.863e+01	1.110e+03	6.499e-02	2.867e+02	-7.676e-01
1.988e+01	1.146e+03	6.981e-02	2.847e+02	-7.612e-01
2.112e+01	1.284e+03	7.540e-02	2.801e+02	-7.408e-01
2.236e+01	1.349e+03	7.913e-02	2.826e+02	-7.810e-01
2.360e+01	1.691e+03	8.359e-02	2.823e+02	-7.779e-01
2.484e+01	1.843e+03	8.884e-02	2.796e+02	-8.680e-01
2.609e+01	1.816e+03	9.321e-02	2.799e+02	-9.182e-01
2.733e+01	2.097e+03	9.825e-02	2.782e+02	-9.348e-01
2.857e+01	2.502e+03	1.036e-01	2.758e+02	-9.473e-01
2.981e+01	2.369e+03	1.092e-01	2.730e+02	-9.174e-01
3.106e+01	2.670e+03	1.124e-01	2.764e+02	-9.167e-01
3.230e+01	2.968e+03	1.148e-01	2.815e+02	-9.789e-01
3.354e+01	3.095e+03	1.194e-01	2.810e+02	-1.010e+00
3.478e+01	3.604e+03	1.244e-01	2.796e+02	-1.001e+00
3.478e+01	8.755e+02	7.029e-02	4.948e+02	-1.481e+00
3.602e+01	3.604e+03	1.287e-01	2.798e+02	-9.698e-01
3.602e+01	9.886e+02	6.722e-02	5.359e+02	-1.542e+00
3.727e+01	3.344e+03	1.329e-01	2.805e+02	-9.183e-01
3.727e+01	1.309e+03	7.447e-02	5.005e+02	1.562e+00
3.851e+01	4.006e+03	1.367e-01	2.817e+02	-8.448e-01
3.851e+01	1.617e+03	7.642e-02	5.039e+02	-1.594e+00
3.975e+01	5.658e+03	1.430e-01	2.780e+02	-1.050e+00
3.975e+01	2.853e+03	7.180e-02	5.536e+02	-1.589e+00
3.975e+01	3.090e+03	1.866e-01	2.131e+02	-1.389e+00
3.975e+01	5.230e+02	1.072e-02	3.709e+03	-1.679e+00
4.099e+01	6.758e+03	1.497e-01	2.738e+02	-1.193e+00
4.099e+01	3.221e+03	8.079e-02	5.074e+02	-1.423e+00
4.099e+01	1.375e+03	1.981e-02	2.069e+03	-1.681e+00
4.099e+01	1.106e+03	5.461e-02	7.507e+02	2.009e-01
4.099e+01	3.661e+03	1.920e-01	2.135e+02	1.589e+00
4.224e+01	6.770e+03	1.563e-01	2.702e+02	-1.216e+00
4.224e+01	2.757e+03	9.966e-02	4.238e+02	1.519e+00
4.224e+01	1.911e+03	2.751e-02	1.535e+03	-1.621e+00
4.224e+01	1.310e+03	1.146e-01	3.686e+02	3.015e-03
4.224e+01	9.734e+02	5.360e-02	7.880e+02	1.469e-01
4.348e+01	4.763e+03	1.556e-01	2.793e+02	-1.058e+00
4.348e+01	1.331e+03	8.490e-02	5.121e+02	1.183e+00
4.348e+01	1.239e+03	4.530e-02	9.598e+02	-1.224e+00
4.348e+01	1.780e+03	1.192e-01	3.648e+02	-1.046e+00
4.472e+01	4.560e+03	1.588e-01	2.816e+02	-1.066e+00
4.472e+01	1.805e+03	8.728e-02	5.124e+02	1.218e+00
4.472e+01	1.692e+03	1.218e-01	3.672e+02	-1.014e+00
4.472e+01	8.669e+02	4.879e-02	9.166e+02	-1.102e+00
4.596e+01	4.598e+03	1.637e-01	2.808e+02	-1.161e+00
4.596e+01	1.327e+03	1.356e-01	3.390e+02	-3.425e-01
4.596e+01	1.378e+03	4.904e-02	9.372e+02	-1.142e+00
4.596e+01	1.799e+03	1.242e-01	3.700e+02	-1.381e+00
4.596e+01	1.110e+03	8.950e-02	5.135e+02	1.105e+00
4.720e+01	4.158e+03	1.661e-01	2.843e+02	-1.044e+00
4.720e+01	1.550e+03	5.873e-02	8.038e+02	-1.217e+00
4.720e+01	1.249e+03	1.344e-01	3.513e+02	-3.618e-01
4.845e+01	3.799e+03	1.679e-01	2.886e+02	-1.034e+00
4.845e+01	1.424e+03	6.283e-02	7.710e+02	-1.110e+00
4.845e+01	1.158e+03	1.315e-01	3.684e+02	-3.548e-01
4.969e+01	4.216e+03	1.707e-01	2.912e+02	-1.155e+00
4.969e+01	1.472e+03	6.358e-02	7.815e+02	-8.649e-01
4.969e+01	1.366e+03	1.324e-01	3.754e+02	-2.219e-01
5.093e+01	1.580e+03	6.853e-02	7.432e+02	-6.498e-01
5.093e+01	3.727e+03	1.720e-01	2.960e+02	-1.254e+00
5.093e+01	1.463e+03	1.357e-01	3.755e+02	-4.624e-01
5.217e+01	1.676e+03	6.460e-02	8.076e+02	-1.153e+00
5.217e+01	1.752e+03	9.688e-02	5.385e+02	8.318e-01
5.217e+01	1.313e+03	1.382e-01	3.775e+02	5.059e-02
5.217e+01	2.131e+03	1.767e-01	2.953e+02	-1.263e+00
5.342e+01	2.467e+03	6.702e-02	7.970e+02	-1.216e+00
5.342e+01	2.116e+03	9.965e-02	5.360e+02	8.419e-01
5.342e+01	1.316e+03	1.375e-01	3.884e+02	1.536e-01
5.466e+01	2.251e+03	7.996e-02	6.836e+02	-6.632e-01
5.466e+01	1.198e+03	1.326e-01	4.121e+02	-5.690e-01
5.466e+01	1.352e+03	5.722e-02	9.552e+02	1.128e+00
5.466e+01	1.490e+03	1.067e-01	5.124e+02	1.216e+00
5.590e+01	1.778e+03	9.055e-02	6.174e+02	-9.003e-02
5.590e+01	1.579e+03	6.410e-02	8.721e+02	1.220e+00
5.590e+01	1.370e+03	1.379e-01	4.054e+02	-9.714e-01
5.714e+01	2.502e+03	8.174e-02	6.991e+02	-1.075e+00
5.714e+01	1.645e+03	1.346e-01	4.245e+02	-1.064e+00
5.714e+01	7.775e+02	4.926e-02	1.160e+03	2.500e-01
5.714e+01	1.494e+03	1.132e-01	5.050e+02	1.109e+00
5.839e+01	3.205e+03	9.103e-02	6.414e+02	-1.178e+00
5.839e+01	3.042e+02	3.003e-03	1.944e+04	-1.742e+00
5.839e+01	6.596e+02	4.118e-02	1.418e+03	-4.319e-01
5.839e+01	2.559e+03	1.239e-01	4.711e+02	1.434e+00
5.839e+01	1.102e+03	1.617e-01	3.611e+02	-5.890e-01
5.963e+01	1.536e+03	3.202e-02	1.862e+03	1.447e+00
5.963e+01	2.292e+03	9.697e-02	6.149e+02	-1.214e+00
5.963e+01	6.239e+02	5.220e-02	1.142e+03	3.584e-01
1.366e+01	5.483e+02	4.451e-02	3.070e+02	-8.717e-01
1.491e+01	6.481e+02	4.928e-02	3.025e+02	-6.481e-01
1.615e+01	6.923e+02	5.442e-02	2.968e+02	-7.417e-01
1.739e+01	8.052e+02	6.038e-02	2.880e+02	-6.994e-01
1.863e+01	1.126e+03	6.433e-02	2.896e+02	-7.770e-01
1.988e+01	1.108e+03	6.986e-02	2.845e+02	-7.558e-01
2.112e+01	1.185e+03	7.518e-02	2.809e+02	-7.398e-01
2.236e+01	1.321e+03	7.896e-02	2.832e+02	-7.978e-01
2.360e+01	1.704e+03	8.320e-02	2.837e+02	-8.143e-01
2.484e+01	1.738e+03	8.802e-02	2.823e+02	-8.786e-01
