# WaveDec output file with array layout
# Easting	Northing	Elevation
# [m]	[m]	[m]
2060.000	2008.000	0.000
2040.000	2024.000	0.000
2056.000	2028.000	0.000
2024.000	2040.000	0.000
2040.000	2040.000	0.000
2068.000	2040.000	0.000
2048.000	2048.000	0.000
2008.000	2056.000	0.000
2032.000	2056.000	0.000
2056.000	2056.000	0.000
2072.000	2064.000	0.000
2040.000	2068.000	0.000
2056.000	2068.000	0.000
2080.000	2080.000	0.000
