# WaveDec output file with array resolution limits
# Frequency	Kmin	Kmax	Vmin	Vmax
# [Hz]	[1/m]	[1/m]	[m/s]	[m/s]
1.100e+01	1.318e-02	4.419e-02	2.489e+02	8.347e+02
1.110e+01	1.318e-02	4.419e-02	2.511e+02	8.423e+02
1.120e+01	1.318e-02	4.419e-02	2.534e+02	8.499e+02
1.130e+01	1.318e-02	4.419e-02	2.557e+02	8.575e+02
1.140e+01	1.318e-02	4.419e-02	2.579e+02	8.651e+02
1.150e+01	1.318e-02	4.419e-02	2.602e+02	8.727e+02
1.160e+01	1.318e-02	4.419e-02	2.624e+02	8.803e+02
1.170e+01	1.318e-02	4.419e-02	2.647e+02	8.879e+02
1.180e+01	1.318e-02	4.419e-02	2.670e+02	8.954e+02
1.190e+01	1.318e-02	4.419e-02	2.692e+02	9.030e+02
1.200e+01	1.318e-02	4.419e-02	2.715e+02	9.106e+02
1.210e+01	1.318e-02	4.419e-02	2.738e+02	9.182e+02
1.220e+01	1.318e-02	4.419e-02	2.760e+02	9.258e+02
1.230e+01	1.318e-02	4.419e-02	2.783e+02	9.334e+02
1.240e+01	1.318e-02	4.419e-02	2.805e+02	9.410e+02
1.250e+01	1.318e-02	4.419e-02	2.828e+02	9.486e+02
1.260e+01	1.318e-02	4.419e-02	2.851e+02	9.562e+02
1.270e+01	1.318e-02	4.419e-02	2.873e+02	9.637e+02
1.280e+01	1.318e-02	4.419e-02	2.896e+02	9.713e+02
1.290e+01	1.318e-02	4.419e-02	2.919e+02	9.789e+02
1.300e+01	1.318e-02	4.419e-02	2.941e+02	9.865e+02
1.310e+01	1.318e-02	4.419e-02	2.964e+02	9.941e+02
1.320e+01	1.318e-02	4.419e-02	2.986e+02	1.002e+03
1.330e+01	1.318e-02	4.419e-02	3.009e+02	1.009e+03
1.340e+01	1.318e-02	4.419e-02	3.032e+02	1.017e+03
1.350e+01	1.318e-02	4.419e-02	3.054e+02	1.024e+03
1.360e+01	1.318e-02	4.419e-02	3.077e+02	1.032e+03
1.370e+01	1.318e-02	4.419e-02	3.100e+02	1.040e+03
1.380e+01	1.318e-02	4.419e-02	3.122e+02	1.047e+03
1.390e+01	1.318e-02	4.419e-02	3.145e+02	1.055e+03
1.400e+01	1.318e-02	4.419e-02	3.167e+02	1.062e+03
