# WaveDec output file with array resolution limits
# Frequency	Kmin	Kmax	Vmin	Vmax
# [Hz]	[1/m]	[1/m]	[m/s]	[m/s]
3.999e+00	8.880e-03	5.107e-02	7.831e+01	4.504e+02
4.033e+00	8.880e-03	5.107e-02	7.897e+01	4.541e+02
4.066e+00	8.880e-03	5.107e-02	7.962e+01	4.579e+02
4.099e+00	8.880e-03	5.107e-02	8.027e+01	4.616e+02
4.133e+00	8.880e-03	5.107e-02	8.092e+01	4.654e+02
4.166e+00	8.880e-03	5.107e-02	8.158e+01	4.691e+02
4.199e+00	8.880e-03	5.107e-02	8.223e+01	4.729e+02
4.233e+00	8.880e-03	5.107e-02	8.288e+01	4.767e+02
4.266e+00	8.880e-03	5.107e-02	8.353e+01	4.804e+02
4.299e+00	8.880e-03	5.107e-02	8.419e+01	4.842e+02
4.333e+00	8.880e-03	5.107e-02	8.484e+01	4.879e+02
4.366e+00	8.880e-03	5.107e-02	8.549e+01	4.917e+02
4.399e+00	8.880e-03	5.107e-02	8.614e+01	4.954e+02
4.433e+00	8.880e-03	5.107e-02	8.680e+01	4.992e+02
4.466e+00	8.880e-03	5.107e-02	8.745e+01	5.029e+02
4.499e+00	8.880e-03	5.107e-02	8.810e+01	5.067e+02
4.533e+00	8.880e-03	5.107e-02	8.875e+01	5.104e+02
4.566e+00	8.880e-03	5.107e-02	8.941e+01	5.142e+02
4.599e+00	8.880e-03	5.107e-02	9.006e+01	5.179e+02
4.633e+00	8.880e-03	5.107e-02	9.071e+01	5.217e+02
4.666e+00	8.880e-03	5.107e-02	9.136e+01	5.254e+02
4.699e+00	8.880e-03	5.107e-02	9.202e+01	5.292e+02
4.733e+00	8.880e-03	5.107e-02	9.267e+01	5.330e+02
4.766e+00	8.880e-03	5.107e-02	9.332e+01	5.367e+02
4.799e+00	8.880e-03	5.107e-02	9.398e+01	5.405e+02
4.833e+00	8.880e-03	5.107e-02	9.463e+01	5.442e+02
4.866e+00	8.880e-03	5.107e-02	9.528e+01	5.480e+02
4.899e+00	8.880e-03	5.107e-02	9.593e+01	5.517e+02
4.933e+00	8.880e-03	5.107e-02	9.659e+01	5.555e+02
4.966e+00	8.880e-03	5.107e-02	9.724e+01	5.592e+02
4.999e+00	8.880e-03	5.107e-02	9.789e+01	5.630e+02
5.032e+00	8.880e-03	5.107e-02	9.854e+01	5.667e+02
5.066e+00	8.880e-03	5.107e-02	9.920e+01	5.705e+02
5.099e+00	8.880e-03	5.107e-02	9.985e+01	5.742e+02
5.132e+00	8.880e-03	5.107e-02	1.005e+02	5.780e+02
5.166e+00	8.880e-03	5.107e-02	1.012e+02	5.817e+02
5.199e+00	8.880e-03	5.107e-02	1.018e+02	5.855e+02
5.232e+00	8.880e-03	5.107e-02	1.025e+02	5.893e+02
5.266e+00	8.880e-03	5.107e-02	1.031e+02	5.930e+02
5.299e+00	8.880e-03	5.107e-02	1.038e+02	5.968e+02
5.332e+00	8.880e-03	5.107e-02	1.044e+02	6.005e+02
5.366e+00	8.880e-03	5.107e-02	1.051e+02	6.043e+02
5.399e+00	8.880e-03	5.107e-02	1.057e+02	6.080e+02
5.432e+00	8.880e-03	5.107e-02	1.064e+02	6.118e+02
5.466e+00	8.880e-03	5.107e-02	1.070e+02	6.155e+02
5.499e+00	8.880e-03	5.107e-02	1.077e+02	6.193e+02
5.532e+00	8.880e-03	5.107e-02	1.083e+02	6.230e+02
5.566e+00	8.880e-03	5.107e-02	1.090e+02	6.268e+02
5.599e+00	8.880e-03	5.107e-02	1.096e+02	6.305e+02
5.632e+00	8.880e-03	5.107e-02	1.103e+02	6.343e+02
5.666e+00	8.880e-03	5.107e-02	1.109e+02	6.380e+02
5.699e+00	8.880e-03	5.107e-02	1.116e+02	6.418e+02
5.732e+00	8.880e-03	5.107e-02	1.122e+02	6.455e+02
5.766e+00	8.880e-03	5.107e-02	1.129e+02	6.493e+02
5.799e+00	8.880e-03	5.107e-02	1.136e+02	6.531e+02
5.832e+00	8.880e-03	5.107e-02	1.142e+02	6.568e+02
5.866e+00	8.880e-03	5.107e-02	1.149e+02	6.606e+02
5.899e+00	8.880e-03	5.107e-02	1.155e+02	6.643e+02
5.932e+00	8.880e-03	5.107e-02	1.162e+02	6.681e+02
5.966e+00	8.880e-03	5.107e-02	1.168e+02	6.718e+02
5.999e+00	8.880e-03	5.107e-02	1.175e+02	6.756e+02
6.032e+00	8.880e-03	5.107e-02	1.181e+02	6.793e+02
6.066e+00	8.880e-03	5.107e-02	1.188e+02	6.831e+02
6.099e+00	8.880e-03	5.107e-02	1.194e+02	6.868e+02
6.132e+00	8.880e-03	5.107e-02	1.201e+02	6.906e+02
6.166e+00	8.880e-03	5.107e-02	1.207e+02	6.943e+02
6.199e+00	8.880e-03	5.107e-02	1.214e+02	6.981e+02
6.232e+00	8.880e-03	5.107e-02	1.220e+02	7.018e+02
6.266e+00	8.880e-03	5.107e-02	1.227e+02	7.056e+02
6.299e+00	8.880e-03	5.107e-02	1.233e+02	7.094e+02
6.332e+00	8.880e-03	5.107e-02	1.240e+02	7.131e+02
6.366e+00	8.880e-03	5.107e-02	1.246e+02	7.169e+02
6.399e+00	8.880e-03	5.107e-02	1.253e+02	7.206e+02
6.432e+00	8.880e-03	5.107e-02	1.260e+02	7.244e+02
6.466e+00	8.880e-03	5.107e-02	1.266e+02	7.281e+02
6.499e+00	8.880e-03	5.107e-02	1.273e+02	7.319e+02
6.532e+00	8.880e-03	5.107e-02	1.279e+02	7.356e+02
6.566e+00	8.880e-03	5.107e-02	1.286e+02	7.394e+02
6.599e+00	8.880e-03	5.107e-02	1.292e+02	7.431e+02
6.632e+00	8.880e-03	5.107e-02	1.299e+02	7.469e+02
6.666e+00	8.880e-03	5.107e-02	1.305e+02	7.506e+02
6.699e+00	8.880e-03	5.107e-02	1.312e+02	7.544e+02
6.732e+00	8.880e-03	5.107e-02	1.318e+02	7.581e+02
6.766e+00	8.880e-03	5.107e-02	1.325e+02	7.619e+02
6.799e+00	8.880e-03	5.107e-02	1.331e+02	7.657e+02
6.832e+00	8.880e-03	5.107e-02	1.338e+02	7.694e+02
6.866e+00	8.880e-03	5.107e-02	1.344e+02	7.732e+02
6.899e+00	8.880e-03	5.107e-02	1.351e+02	7.769e+02
