# WaveDec output file with array layout
# Easting	Northing	Elevation
# [m]	[m]	[m]
637283.688	127672.680	656.133
637281.938	127682.367	656.006
637277.188	127665.227	656.011
637293.250	127670.578	656.137
637258.750	127674.406	655.898
637281.000	127647.859	656.084
637304.812	127659.805	656.079
637302.688	127688.719	656.121
637313.125	127622.289	655.978
637234.750	127639.047	656.030
637238.562	127705.953	656.140
637301.812	127729.516	656.195
