# WaveDec output file for Circular Rayleigh waves
# MODEL_CIRCULAR_RAYLEIGH
# Frequency	Amplitude	Wavenumber	Velocity	EllipticityAngle
# [Hz]	[a.u.]	[1/m]	[m/s]	[rad]
7.453e+00	4.196e+02	6.755e-02	1.103e+02	4.271e-02
7.453e+00	4.953e+02	1.170e-01	6.371e+01	5.970e-02
8.696e+00	2.289e+02	2.207e-02	3.940e+02	1.417e-03
8.696e+00	3.042e+02	6.025e-02	1.443e+02	3.683e-01
9.938e+00	6.637e+02	1.771e-01	5.611e+01	2.418e-01
9.938e+00	2.902e+02	6.086e-02	1.633e+02	1.990e-01
1.118e+01	2.603e+02	3.520e-02	3.176e+02	6.703e-02
1.242e+01	2.929e+02	3.880e-02	3.202e+02	-6.762e-01
1.242e+01	5.167e+02	1.644e-01	7.555e+01	6.346e-01
1.366e+01	3.309e+02	4.235e-02	3.227e+02	-6.029e-01
1.491e+01	3.500e+02	5.421e-02	2.750e+02	-6.729e-01
1.615e+01	3.480e+02	5.551e-02	2.909e+02	-8.102e-01
1.739e+01	4.974e+02	6.079e-02	2.861e+02	-8.337e-01
1.863e+01	5.432e+02	6.362e-02	2.929e+02	-7.889e-01
1.988e+01	6.048e+02	7.012e-02	2.835e+02	-8.903e-01
2.112e+01	6.889e+02	7.440e-02	2.839e+02	-1.002e+00
2.236e+01	5.652e+02	8.104e-02	2.759e+02	-7.867e-01
2.360e+01	8.456e+02	8.496e-02	2.778e+02	-8.895e-01
2.484e+01	8.182e+02	9.036e-02	2.749e+02	-9.009e-01
2.609e+01	8.320e+02	9.417e-02	2.770e+02	-9.129e-01
2.733e+01	9.295e+02	9.833e-02	2.779e+02	-9.402e-01
2.857e+01	1.002e+03	1.020e-01	2.802e+02	-9.264e-01
2.981e+01	1.257e+03	1.067e-01	2.795e+02	-9.241e-01
3.106e+01	1.207e+03	1.113e-01	2.791e+02	-9.612e-01
3.230e+01	1.237e+03	1.159e-01	2.788e+02	-9.382e-01
3.354e+01	1.355e+03	1.206e-01	2.780e+02	-9.809e-01
3.478e+01	1.717e+03	1.261e-01	2.758e+02	-1.001e+00
3.478e+01	3.537e+02	6.083e-02	5.718e+02	1.064e+00
3.602e+01	1.714e+03	1.306e-01	2.759e+02	-9.855e-01
3.602e+01	6.684e+02	1.808e-01	1.992e+02	-9.136e-01
3.602e+01	4.586e+02	6.656e-02	5.413e+02	1.196e+00
3.727e+01	1.608e+03	1.348e-01	2.764e+02	-9.887e-01
3.727e+01	4.499e+02	7.062e-02	5.277e+02	1.209e+00
3.727e+01	6.219e+02	1.876e-01	1.987e+02	-8.934e-01
3.851e+01	1.434e+03	1.400e-01	2.751e+02	-8.762e-01
3.851e+01	7.545e+02	1.917e-01	2.008e+02	-8.652e-01
3.851e+01	8.472e+02	1.584e-01	2.431e+02	-1.058e+00
3.851e+01	4.569e+02	6.498e-02	5.926e+02	-1.464e+00
3.975e+01	1.485e+03	1.419e-01	2.801e+02	-9.886e-01
3.975e+01	9.373e+02	1.722e-01	2.308e+02	-1.120e+00
3.975e+01	5.856e+02	7.177e-02	5.539e+02	-1.474e+00
3.975e+01	5.434e+02	1.095e-01	3.629e+02	-1.171e+00
4.099e+01	1.560e+03	1.474e-01	2.780e+02	-9.622e-01
4.099e+01	8.239e+02	1.893e-01	2.165e+02	-8.447e-01
4.099e+01	5.400e+02	6.975e-02	5.877e+02	-1.200e+00
4.099e+01	7.505e+02	1.631e-01	2.513e+02	-1.087e+00
4.224e+01	1.905e+03	1.499e-01	2.818e+02	-9.934e-01
4.224e+01	3.825e+02	6.881e-02	6.138e+02	-7.243e-01
4.224e+01	6.020e+02	1.373e-01	3.076e+02	-4.314e-01
4.224e+01	7.691e+02	1.966e-01	2.148e+02	-8.787e-01
4.348e+01	1.738e+03	1.560e-01	2.787e+02	-1.060e+00
4.348e+01	3.606e+02	8.121e-02	5.354e+02	1.706e-01
4.348e+01	8.714e+02	1.684e-01	2.582e+02	-1.388e+00
4.472e+01	1.627e+03	1.605e-01	2.787e+02	-1.041e+00
4.472e+01	4.600e+02	8.676e-02	5.155e+02	4.129e-01
4.472e+01	1.182e+03	1.725e-01	2.593e+02	-1.362e+00
4.472e+01	4.577e+02	1.153e-01	3.879e+02	-8.932e-01
4.596e+01	1.663e+03	1.662e-01	2.765e+02	-1.060e+00
4.596e+01	1.453e+03	1.771e-01	2.595e+02	-1.346e+00
4.596e+01	6.117e+02	9.114e-02	5.043e+02	7.386e-01
4.596e+01	5.112e+02	1.222e-01	3.763e+02	-8.595e-01
4.720e+01	1.624e+03	1.756e-01	2.688e+02	-1.152e+00
4.720e+01	7.485e+02	9.457e-02	4.992e+02	8.049e-01
4.720e+01	1.070e+03	1.627e-01	2.901e+02	-8.887e-01
4.720e+01	4.381e+02	6.851e-02	6.890e+02	-9.958e-01
4.845e+01	1.689e+03	1.803e-01	2.687e+02	-1.134e+00
4.845e+01	6.322e+02	9.737e-02	4.975e+02	7.673e-01
4.845e+01	1.115e+03	1.662e-01	2.914e+02	-9.942e-01
4.845e+01	5.527e+02	7.619e-02	6.359e+02	-1.144e+00
4.969e+01	1.453e+03	1.865e-01	2.665e+02	-1.090e+00
4.969e+01	1.423e+03	1.719e-01	2.890e+02	-1.088e+00
4.969e+01	8.039e+02	9.694e-02	5.126e+02	1.378e+00
4.969e+01	5.797e+02	7.747e-02	6.414e+02	-1.283e+00
4.969e+01	3.987e+02	1.077e-01	4.612e+02	-4.829e-02
5.093e+01	1.363e+03	1.897e-01	2.684e+02	-9.914e-01
5.093e+01	1.091e+03	1.754e-01	2.904e+02	-1.031e+00
5.093e+01	7.510e+02	1.022e-01	4.983e+02	1.315e+00
5.093e+01	4.839e+02	8.295e-02	6.140e+02	-1.193e+00
5.217e+01	7.698e+02	1.086e-01	4.806e+02	1.269e+00
5.217e+01	1.217e+03	1.930e-01	2.703e+02	-8.521e-01
5.217e+01	8.985e+02	1.780e-01	2.930e+02	-1.102e+00
5.342e+01	9.125e+02	1.102e-01	4.848e+02	1.338e+00
5.342e+01	4.240e+02	4.669e-02	1.144e+03	-1.131e+00
5.342e+01	1.049e+03	1.959e-01	2.727e+02	-7.538e-01
5.342e+01	8.269e+02	1.800e-01	2.967e+02	-1.000e+00
5.466e+01	1.078e+03	1.122e-01	4.873e+02	1.405e+00
5.466e+01	5.166e+02	5.185e-02	1.054e+03	-1.060e+00
5.466e+01	9.820e+02	1.978e-01	2.763e+02	-8.348e-01
5.590e+01	1.003e+03	1.167e-01	4.791e+02	1.457e+00
5.590e+01	4.504e+02	5.558e-02	1.006e+03	-9.966e-01
5.714e+01	9.033e+02	1.224e-01	4.668e+02	1.481e+00
5.714e+01	3.981e+02	6.185e-02	9.239e+02	-1.004e+00
5.839e+01	7.609e+02	1.264e-01	4.621e+02	1.362e+00
5.839e+01	3.543e+02	6.687e-02	8.731e+02	-9.719e-01
5.963e+01	6.294e+02	1.268e-01	4.701e+02	9.339e-01
5.963e+01	4.686e+02	7.877e-02	7.570e+02	-1.277e+00
7.453e+00	2.079e+02	1.529e-02	4.875e+02	1.161e-03
8.696e+00	2.330e+02	1.917e-02	4.537e+02	-8.498e-01
1.118e+01	5.835e+02	1.658e-01	6.745e+01	1.725e-01
1.242e+01	2.770e+02	3.332e-02	3.728e+02	-2.751e-01
1.366e+01	3.708e+02	4.862e-02	2.811e+02	-5.642e-01
1.491e+01	2.861e+02	4.852e-02	3.072e+02	-4.860e-01
1.615e+01	4.628e+02	5.429e-02	2.975e+02	-6.653e-01
1.739e+01	5.976e+02	6.001e-02	2.898e+02	-7.797e-01
1.863e+01	5.782e+02	6.637e-02	2.807e+02	-9.231e-01
1.988e+01	7.289e+02	6.988e-02	2.844e+02	-9.689e-01
2.112e+01	9.929e+02	7.483e-02	2.822e+02	-9.435e-01
2.236e+01	7.793e+02	8.016e-02	2.790e+02	-8.329e-01
2.360e+01	9.724e+02	8.439e-02	2.797e+02	-8.644e-01
2.484e+01	9.343e+02	9.000e-02	2.761e+02	-8.474e-01
2.609e+01	1.238e+03	9.434e-02	2.765e+02	-9.492e-01
2.733e+01	1.154e+03	9.818e-02	2.784e+02	-9.685e-01
2.857e+01	1.238e+03	1.020e-01	2.802e+02	-9.495e-01
2.981e+01	1.561e+03	1.068e-01	2.791e+02	-9.170e-01
3.106e+01	1.559e+03	1.110e-01	2.798e+02	-9.744e-01
3.230e+01	1.631e+03	1.157e-01	2.791e+02	-9.679e-01
