# WaveDec output file with array resolution limits
# Frequency	Kmin	Kmax	Vmin	Vmax
# [Hz]	[1/m]	[1/m]	[m/s]	[m/s]
1.817e+00	1.087e-02	2.500e-01	7.270e+00	1.672e+02
3.635e+00	1.087e-02	2.500e-01	1.454e+01	3.344e+02
5.452e+00	1.087e-02	2.500e-01	2.181e+01	5.016e+02
7.270e+00	1.087e-02	2.500e-01	2.908e+01	6.688e+02
9.087e+00	1.087e-02	2.500e-01	3.635e+01	8.360e+02
1.090e+01	1.087e-02	2.500e-01	4.362e+01	1.003e+03
1.272e+01	1.087e-02	2.500e-01	5.089e+01	1.170e+03
1.454e+01	1.087e-02	2.500e-01	5.816e+01	1.338e+03
1.636e+01	1.087e-02	2.500e-01	6.543e+01	1.505e+03
1.817e+01	1.087e-02	2.500e-01	7.270e+01	1.672e+03
1.999e+01	1.087e-02	2.500e-01	7.997e+01	1.839e+03
2.181e+01	1.087e-02	2.500e-01	8.724e+01	2.007e+03
2.363e+01	1.087e-02	2.500e-01	9.451e+01	2.174e+03
2.544e+01	1.087e-02	2.500e-01	1.018e+02	2.341e+03
2.726e+01	1.087e-02	2.500e-01	1.090e+02	2.508e+03
2.908e+01	1.087e-02	2.500e-01	1.163e+02	2.675e+03
3.090e+01	1.087e-02	2.500e-01	1.236e+02	2.843e+03
3.271e+01	1.087e-02	2.500e-01	1.309e+02	3.010e+03
3.453e+01	1.087e-02	2.500e-01	1.381e+02	3.177e+03
3.635e+01	1.087e-02	2.500e-01	1.454e+02	3.344e+03
3.817e+01	1.087e-02	2.500e-01	1.527e+02	3.511e+03
3.998e+01	1.087e-02	2.500e-01	1.599e+02	3.679e+03
4.180e+01	1.087e-02	2.500e-01	1.672e+02	3.846e+03
4.362e+01	1.087e-02	2.500e-01	1.745e+02	4.013e+03
4.544e+01	1.087e-02	2.500e-01	1.817e+02	4.180e+03
4.725e+01	1.087e-02	2.500e-01	1.890e+02	4.347e+03
4.907e+01	1.087e-02	2.500e-01	1.963e+02	4.515e+03
5.089e+01	1.087e-02	2.500e-01	2.036e+02	4.682e+03
5.271e+01	1.087e-02	2.500e-01	2.108e+02	4.849e+03
5.452e+01	1.087e-02	2.500e-01	2.181e+02	5.016e+03
5.634e+01	1.087e-02	2.500e-01	2.254e+02	5.183e+03
5.816e+01	1.087e-02	2.500e-01	2.326e+02	5.351e+03
5.998e+01	1.087e-02	2.500e-01	2.399e+02	5.518e+03
