# WaveDecActive output file for Circular Dissipative Rayleigh waves
# MODEL_CIRCULAR_DISSIPATIVE_RAYLEIGH
# Frequency	Amplitude	Wavenumber_r	Velocity	EllipticityAngle	Wavenumber_i	Alpha
# [Hz]	[a.u.]	[1/m]	[m/s]	[rad]	[1/m]	[rad/m]
7.270e+00	1.405e-02	1.553e-02	4.680e+02	-9.660e-01	-7.449e-05	4.680e-04
9.087e+00	4.003e-02	2.057e-02	4.419e+02	-9.096e-01	-1.663e-04	1.045e-03
9.087e+00	2.923e-02	1.751e-02	5.190e+02	2.797e-01	-5.849e-03	3.675e-02
1.090e+01	9.925e-02	2.612e-02	4.176e+02	-8.258e-01	-9.283e-04	5.833e-03
1.090e+01	1.214e-02	1.350e-02	8.077e+02	4.800e-01	-1.202e-03	7.554e-03
1.272e+01	1.947e-01	3.213e-02	3.960e+02	-7.680e-01	-1.614e-03	1.014e-02
1.272e+01	1.025e-02	1.880e-02	6.766e+02	5.353e-01	2.882e-03	-1.811e-02
1.454e+01	2.899e-01	3.870e-02	3.757e+02	-6.617e-01	-1.472e-03	9.250e-03
1.454e+01	3.906e-02	2.453e-02	5.928e+02	6.367e-01	4.829e-04	-3.034e-03
1.454e+01	1.871e-03	1.118e-02	1.301e+03	-4.704e-01	4.381e-03	-2.753e-02
1.636e+01	3.671e-01	4.487e-02	3.646e+02	-6.118e-01	-1.020e-03	6.408e-03
1.636e+01	8.154e-02	2.845e-02	5.749e+02	7.227e-01	-1.132e-03	7.113e-03
1.636e+01	4.889e-03	1.790e-02	9.140e+02	-4.136e-01	3.531e-03	-2.218e-02
1.817e+01	4.680e-01	5.055e-02	3.596e+02	-5.924e-01	-8.436e-04	5.301e-03
1.817e+01	1.312e-01	3.196e-02	5.688e+02	6.889e-01	-2.269e-03	1.425e-02
1.817e+01	1.679e-02	2.423e-02	7.501e+02	-4.286e-01	1.511e-03	-9.493e-03
1.999e+01	6.347e-01	5.639e-02	3.545e+02	-5.679e-01	-1.168e-03	7.339e-03
1.999e+01	2.347e-01	3.565e-02	5.608e+02	6.108e-01	-4.308e-03	2.707e-02
1.999e+01	3.285e-02	2.943e-02	6.794e+02	-4.992e-01	9.803e-04	-6.159e-03
1.999e+01	1.477e-02	1.544e-02	1.295e+03	8.931e-01	-2.651e-03	1.665e-02
2.181e+01	8.142e-01	6.249e-02	3.490e+02	-5.435e-01	-1.446e-03	9.088e-03
2.181e+01	3.562e-01	3.820e-02	5.710e+02	6.208e-01	-6.316e-03	3.969e-02
2.181e+01	5.381e-02	3.443e-02	6.334e+02	-5.246e-01	4.913e-04	-3.087e-03
2.181e+01	6.591e-02	1.835e-02	1.189e+03	9.869e-01	-8.309e-03	5.221e-02
2.181e+01	5.174e-02	5.876e-02	3.712e+02	6.512e-01	-5.811e-03	3.651e-02
2.363e+01	9.930e-01	6.876e-02	3.436e+02	-5.202e-01	-1.791e-03	1.125e-02
2.363e+01	1.784e-01	3.492e-02	6.765e+02	1.034e+00	-4.519e-03	2.839e-02
2.363e+01	1.236e-01	4.348e-02	5.433e+02	-1.867e-01	-1.140e-03	7.162e-03
2.363e+01	1.318e+00	6.872e-02	3.438e+02	1.028e+00	-2.306e-02	1.449e-01
2.363e+01	1.007e-02	1.646e-02	1.435e+03	-1.828e-01	-2.464e-04	1.548e-03
2.544e+01	1.163e+00	7.521e-02	3.383e+02	-5.376e-01	-2.213e-03	1.390e-02
2.544e+01	1.059e-01	3.742e-02	6.800e+02	1.289e+00	-2.276e-03	1.430e-02
2.544e+01	2.452e-01	5.043e-02	5.046e+02	1.131e-03	-3.599e-03	2.261e-02
2.544e+01	4.187e+00	6.091e-02	4.178e+02	1.200e+00	-3.714e-02	2.334e-01
2.544e+01	3.703e-03	2.295e-02	1.109e+03	-2.364e-01	4.397e-03	-2.763e-02
2.726e+01	1.275e+00	8.195e-02	3.327e+02	-5.373e-01	-2.580e-03	1.621e-02
2.726e+01	1.458e-01	4.183e-02	6.517e+02	1.060e+00	-3.641e-03	2.288e-02
2.726e+01	2.218e-01	5.714e-02	4.771e+02	-5.795e-02	-2.993e-03	1.880e-02
2.726e+01	1.526e-02	3.003e-02	9.079e+02	-1.284e-01	6.662e-04	-4.186e-03
2.726e+01	5.392e-02	1.758e-02	1.551e+03	1.260e+00	-8.437e-03	5.301e-02
2.908e+01	1.330e+00	8.896e-02	3.269e+02	-5.392e-01	-2.954e-03	1.856e-02
2.908e+01	2.754e-01	6.468e-02	4.496e+02	-1.530e-01	-4.096e-03	2.574e-02
2.908e+01	1.186e-01	4.430e-02	6.564e+02	1.055e+00	-4.174e-03	2.622e-02
2.908e+01	6.384e-02	2.215e-02	1.313e+03	9.442e-01	-8.171e-03	5.134e-02
2.908e+01	9.188e-03	3.471e-02	8.379e+02	-4.390e-01	9.672e-04	-6.077e-03
