# WaveDecActive output file for Circular Dissipative Rayleigh waves
# MODEL_CIRCULAR_DISSIPATIVE_RAYLEIGH
# Frequency	Amplitude	Wavenumber_r	Velocity	EllipticityAngle	Wavenumber_i	Alpha
# [Hz]	[a.u.]	[1/m]	[m/s]	[rad]	[1/m]	[rad/m]
3.090e+01	1.260e+00	9.569e-02	3.229e+02	-5.377e-01	-3.025e-03	1.901e-02
3.090e+01	1.906e-01	6.971e-02	4.432e+02	-1.974e-01	-3.006e-03	1.889e-02
3.090e+01	5.923e-02	4.786e-02	6.456e+02	6.104e-01	-3.083e-03	1.937e-02
3.090e+01	1.642e-02	2.056e-02	1.503e+03	8.720e-01	-3.757e-03	2.361e-02
3.271e+01	1.150e+00	1.022e-01	3.202e+02	-5.415e-01	-3.105e-03	1.951e-02
3.271e+01	1.493e-01	7.571e-02	4.321e+02	-2.122e-01	-2.854e-03	1.793e-02
3.271e+01	1.991e-02	4.263e-02	7.674e+02	-5.051e-01	-2.098e-04	1.318e-03
3.453e+01	1.047e+00	1.087e-01	3.177e+02	-5.460e-01	-3.349e-03	2.104e-02
3.453e+01	1.113e-01	8.065e-02	4.282e+02	-2.064e-01	-2.667e-03	1.676e-02
3.453e+01	3.158e-02	4.762e-02	7.251e+02	-1.177e+00	-1.165e-03	7.319e-03
3.635e+01	9.417e-01	1.152e-01	3.154e+02	-5.480e-01	-3.651e-03	2.294e-02
3.635e+01	4.739e-02	5.203e-02	6.986e+02	-1.437e+00	-2.212e-03	1.390e-02
3.635e+01	7.782e-02	8.600e-02	4.227e+02	-1.737e-01	-2.402e-03	1.509e-02
3.817e+01	7.958e-01	1.218e-01	3.135e+02	-5.482e-01	-3.794e-03	2.384e-02
3.817e+01	5.225e-02	5.613e-02	6.800e+02	-1.660e+00	-2.977e-03	1.870e-02
3.817e+01	5.197e-02	9.172e-02	4.161e+02	-1.635e-01	-1.721e-03	1.081e-02
3.998e+01	6.608e-01	1.281e-01	3.121e+02	-5.514e-01	-3.992e-03	2.508e-02
3.998e+01	5.054e-02	6.047e-02	6.612e+02	1.312e+00	-3.814e-03	2.396e-02
3.998e+01	3.189e-02	9.686e-02	4.128e+02	-1.758e-01	-7.715e-04	4.848e-03
4.180e+01	5.457e-01	1.345e-01	3.108e+02	-5.545e-01	-4.300e-03	2.702e-02
4.180e+01	4.486e-02	6.598e-02	6.335e+02	1.186e+00	-4.927e-03	3.096e-02
4.180e+01	2.033e-02	1.014e-01	4.122e+02	-1.916e-01	-1.116e-04	7.009e-04
4.362e+01	4.355e-01	1.406e-01	3.102e+02	-5.405e-01	-4.474e-03	2.811e-02
4.544e+01	3.461e-01	1.470e-01	3.092e+02	-5.447e-01	-4.832e-03	3.036e-02
4.725e+01	2.653e-01	1.533e-01	3.082e+02	-5.502e-01	-5.115e-03	3.214e-02
4.907e+01	1.979e-01	1.596e-01	3.075e+02	-5.574e-01	-5.378e-03	3.379e-02
5.089e+01	1.448e-01	1.658e-01	3.069e+02	-5.634e-01	-5.659e-03	3.556e-02
5.271e+01	1.030e-01	1.721e-01	3.063e+02	-5.659e-01	-5.889e-03	3.700e-02
