# WaveDec output file for Circular Rayleigh waves
# MODEL_CIRCULAR_RAYLEIGH
# Frequency	Amplitude	Wavenumber	Velocity	EllipticityAngle
# [Hz]	[a.u.]	[1/m]	[m/s]	[rad]
5.800e+01	8.162e+03	2.250e-01	2.578e+02	4.472e-01
5.800e+01	3.533e+03	2.022e-01	2.868e+02	5.795e-01
5.800e+01	3.907e+03	1.000e+00	5.797e+01	1.256e-01
5.800e+01	1.811e+03	2.891e-01	2.006e+02	2.640e-01
6.000e+01	5.315e+03	1.320e-01	4.545e+02	-4.884e-01
6.000e+01	8.802e+03	2.327e-01	2.579e+02	4.297e-01
6.000e+01	3.593e+03	2.073e-01	2.894e+02	4.860e-01
6.000e+01	3.732e+03	8.953e-01	6.701e+01	-7.904e-02
6.000e+01	1.387e+03	2.642e-01	2.271e+02	9.796e-01
6.200e+01	5.206e+03	1.394e-01	4.447e+02	-5.559e-01
6.200e+01	9.007e+03	2.386e-01	2.599e+02	4.100e-01
6.200e+01	3.667e+03	2.147e-01	2.888e+02	4.175e-01
6.200e+01	6.499e+02	4.821e-02	1.286e+03	-1.006e+00
6.200e+01	1.731e+03	2.633e-01	2.355e+02	1.054e+00
6.400e+01	6.626e+03	1.404e-01	4.560e+02	-3.795e-01
6.400e+01	6.242e+03	2.455e-01	2.607e+02	4.124e-01
6.400e+01	3.093e+03	9.694e-02	6.602e+02	-5.850e-02
6.400e+01	1.814e+03	1.788e-01	3.579e+02	6.214e-01
6.400e+01	2.449e+03	2.745e-01	2.332e+02	7.439e-01
6.600e+01	7.291e+03	1.482e-01	4.454e+02	-3.802e-01
6.600e+01	5.674e+03	2.387e-01	2.765e+02	4.541e-01
6.600e+01	3.879e+03	2.708e-01	2.437e+02	6.746e-01
6.600e+01	3.019e+03	1.066e-01	6.192e+02	-9.201e-02
6.600e+01	3.504e+03	3.109e-01	2.123e+02	2.424e-01
6.800e+01	6.528e+03	1.541e-01	4.413e+02	-4.585e-01
6.800e+01	5.326e+03	2.449e-01	2.776e+02	3.400e-01
6.800e+01	4.327e+03	2.733e-01	2.488e+02	6.170e-01
6.800e+01	3.008e+03	1.039e-01	6.546e+02	-1.622e-02
6.800e+01	1.534e+03	1.893e-01	3.592e+02	1.329e+00
7.000e+01	6.036e+03	1.594e-01	4.391e+02	-3.612e-01
7.000e+01	5.783e+03	2.811e-01	2.490e+02	4.016e-01
7.000e+01	4.646e+03	2.340e-01	2.992e+02	3.380e-01
7.000e+01	5.393e+03	8.760e-01	7.991e+01	2.331e-01
7.000e+01	2.242e+03	1.103e-01	6.346e+02	8.274e-02
7.200e+01	7.767e+03	1.666e-01	4.321e+02	-2.829e-01
7.200e+01	9.363e+03	2.941e-01	2.448e+02	1.885e-01
7.200e+01	3.842e+03	2.324e-01	3.098e+02	3.985e-01
